A,maxDev,finalTilt,attRMS,ok,satSamples
0.1,0.821503027816072,0.151331630829593,0.309037270617322,1,0
0.13,1.77122032378747,2.30000883864104,1.64903715901263,1,0
0.16,3.91205125875354,12.5740222567378,1.94284566698652,0,2
0.2,2.37767658068325,8.34579025524928,1.42555203848773,1,9
0.22,1.85621602935537,0.995694025863583,1.74893617495254,1,11
0.24,0.900322737737813,0.258181111849423,2.00552592627698,1,14
0.26,0.773330596527908,0.0929241031701442,1.68029741754998,1,18
0.28,0.900599301112003,0.118323356251784,1.79465591552575,1,21
0.3,2.77447016691504,9.98377809205315,3.17320577660678,1,23
0.32,1.64516342597634,0.725960999988197,2.68277742191161,1,26
