A,maxTilt,netRot,maxDev,finalTilt,finalRate,attErrRMS
0.1,45.5817363151341,-0.150356830723522,0.821503027816072,0.151331630829593,0.011983103472349,0.309037270617322
0.13,78.8033096906369,2.29974158466089,1.77122032378747,2.30000883864104,0.205281221050817,1.64903715901263
0.16,120.912895374252,12.7162505957806,3.91866465135679,12.7162789200734,0.447441409992797,1.86283789968493
0.2,178.563670980518,-368.385996422716,2.37707178369797,8.39159365665137,0.086705255708361,1.39675883498546
0.22,177.010560535449,-361.083716511147,1.89224700716602,1.08389304563988,0.0658240377718203,1.87600782627934
0.24,178.63907642579,-359.77725502992,0.852196649737795,0.223595238997571,0.00917576379024961,2.05038855380422
0.26,174.494787344973,-360.076915631592,0.903917600919562,0.0942055913758253,0.0107314823448293,2.29875234804487
0.28,171.899883890765,-359.311822237251,1.57802877311959,0.691600392751742,0.0676235681835468,3.01371497160918
0.3,173.27277155581,-371.354086475229,4.81991059275937,11.77176125895,0.169920434055012,9.27408180323926
0.32,178.55820903879,-648.193047942895,399.309305903839,78.6869601802138,12.4775608929141,32.9237847671042
