A,maxTilt,netRot,nFlips,finalTilt,finalRate,maxDev,settle,verdict
0.1,166.754391056863,3.10218674342045e-07,0,0,2.73780451760945e-08,1.45632257415914,2.995,return
0.13,165.520992262289,359.999996331976,1,3.6222548091772e-06,7.62827371387276e-08,6.60759950366723,5.12,flip x1 OK
0.16,177.973192375295,719.999999615522,2,0,7.69313173836309e-08,0.552268886399932,1.87,flip x2 OK
0.19,173.76251590055,8.66393864768629e-08,0,0,5.00585409190424e-08,0.974812691101562,2.725,return
0.22,172.714663645024,7.57972925983563,0,7.63832735674413,9.81993140955475e-06,214.579865196695,14,return
0.26,174.368906443826,360.000008198175,1,8.18910913293408e-06,5.92679348364108e-07,3.86833731738487,4.27,flip x1 OK
0.3,178.240555216078,-719.999999682571,2,0,1.75912865715171e-08,0.86809229589768,3.41,flip x2 OK
