A,maxTilt,netRot,nFlips,finalTilt,finalRate,maxDev,settle,verdict
0.14,91.7781037902782,-1.68180756138895e-07,0,0,2.75734811698704e-08,1.16680969751895,1.195,return
0.16,120.868576308337,-4.17102081689633e-07,0,0,1.08575168725632e-07,1.5159136762656,2.305,return
0.18,154.359835857395,9.09059440631077e-07,0,0,1.42555873477839e-07,1.85683501297423,2.915,return
0.2,178.7048405136,-359.999999515629,1,0,2.43884662429432e-08,1.10709285203731,2.68,flip x1 OK
0.22,177.007432431772,-359.999999971449,1,0,2.22502157581041e-08,0.967657329337597,2.045,flip x1 OK
0.24,178.670582431132,-359.9999995494,1,0,1.03780402414245e-07,0.533579073706806,0.99,flip x1 OK
0.26,174.548085272428,-359.999999587645,1,0,5.25267243944615e-08,0.189924630454497,0.895,flip x1 OK
0.28,171.947166878417,-360.000000511273,1,0,6.83663922813805e-08,0.334102160895094,0.995000000000001,flip x1 OK
0.3,173.320024030289,-360.000000828505,1,0,1.07057483994297e-07,1.74344141166468,2.77,flip x1 OK
0.34,174.386549684621,-1079.99999945588,3,0,3.41829208169255e-08,0.854965280276634,2.65,flip x3 OK
0.4,178.300740144108,-1079.99986719104,3,0.000174906945622039,9.01824411790021e-06,8.16334163080906,6.43,flip x3 OK
