A,maxTilt,netRot,nFlips,finalTilt,finalRate,maxDev,settle,verdict
0.32,178.632055135746,-716.497041230017,2,3.50306705424421,0.0152356906195493,1.46941183086935,9.38,flip x2 OK
0.36,176.540219758665,-1080.18483674648,3,17.8127138638804,0.56234449628921,19.7313941488942,14,flip x3 UNSETTLED
0.4,178.300246895464,-1078.92036580996,3,2.1832897559377,0.288718873299797,6.34957751946885,13.6,flip x3 OK
0.44,173.912814257115,-722.898883668151,2,26.7155439257497,0.163407625176117,21.3873820815894,14,flip x2 UNSETTLED
