설정,한계_rad_s,한계_deg_s,포화율_pct,기울기RMS,최대오차,최종오차,재수렴_s,판정
MPU6050 ±250,4.363,249.981486015578,1.62459385153712,61.943680723043,162.523883892151,80.5856997499893,0.0600000000000005,실패
MPU6050 ±500,8.727,500.020267810669,1.0497375656086,108.512447179233,146.391094998498,141.747960248523,0.0199999999999996,실패
모델 기본값,10,572.957795130823,0.974756310922269,119.721575638018,156.46908804018,156.451264557218,0.0150000000000006,실패
MPU6050 ±1000,17.453,999.983239841826,0.574856285928518,109.636322542393,144.010023237038,143.983880876687,NaN,실패
MPU6050 ±2000,34.907,2000.02377546316,0.349912521869533,39.8332874066462,56.219721063942,52.6718199358876,NaN,실패
이상적(비현실),70,4010.70456591576,0,1.01707593517949,9.4924106062937,1.13401435076913,0.00500000000000078,성공
