A,maxTilt,netRot,nFlips,finalTilt,finalRate,maxDev,settle,verdict
0.2,178.563670980518,-363.174085589318,1,3.17604165140154,0.0352038858900497,2.44456566617119,12.16,flip x1 OK
0.24,178.63907642579,-359.872004323977,1,0.128578933867022,0.00807663899360502,0.789007753893519,5.085,flip x1 OK
0.28,171.899883890765,-359.878999682695,1,0.121556731466657,0.0235932846543123,1.10377390200906,5.675,flip x1 OK
0.32,178.55820903879,-720.162871614784,2,0.167751646296547,0.0170722590389699,0.92500627482251,5.73,flip x2 OK
0.36,176.489644843605,-1100.04148463189,3,20.041658858121,0.0362718058215496,230.792983310983,14,flip x3 UNSETTLED
